#Data Point Listing of File C:\Documents and #Settings\NMR\Desktop\FPraktikum\2021\17122021\mess_1_45.4mhz.tnt
#Starting Point:	1	Ending Point:	1024
#Real	Imag	kHz
-3721.031	-9799.156	1250.000
-5649.656	-8412.309	1247.559
-12773.172	11225.928	1245.117
12200.242	-6684.941	1242.676
-2064.406	-1107.922	1240.234
13408.340	9874.969	1237.793
-13685.578	-5481.063	1235.352
-970.830	-3164.578	1232.910
3222.045	-386.109	1230.469
11000.938	829.145	1228.027
-5326.494	-14112.817	1225.586
-1937.469	22070.820	1223.145
856.496	9229.305	1220.703
4504.510	-14911.837	1218.262
5319.626	-43.773	1215.820
-7420.553	-7172.273	1213.379
9417.313	-10119.068	1210.938
-2213.832	-2864.659	1208.496
-2130.391	-18167.742	1206.055
5974.902	-3629.119	1203.613
-2896.324	6449.035	1201.172
1223.781	7992.684	1198.730
7552.609	-4356.794	1196.289
-3637.449	-737.486	1193.848
-735.148	2636.363	1191.406
-11525.152	-2509.154	1188.965
1600.183	-1449.341	1186.523
-2735.111	-11689.803	1184.082
-15376.088	4358.341	1181.641
3434.723	20575.336	1179.199
6216.223	-16043.227	1176.758
-13731.158	-22662.957	1174.316
-15075.557	1094.644	1171.875
3657.263	-4124.797	1169.434
-10520.498	5436.423	1166.992
4233.016	-9194.792	1164.551
-5542.939	562.554	1162.109
-11215.480	-2150.590	1159.668
9060.692	-7256.162	1157.227
-10671.385	-3770.184	1154.785
-15460.039	5372.524	1152.344
1494.040	14373.561	1149.902
-11780.640	-22306.688	1147.461
-10593.088	2754.342	1145.020
-8161.039	1517.617	1142.578
-16192.732	-8283.830	1140.137
1147.387	-5453.775	1137.695
-5124.969	-3826.976	1135.254
-3891.285	6402.158	1132.813
-5233.385	1092.998	1130.371
7486.619	-7410.819	1127.930
-11195.133	3419.853	1125.488
12009.348	688.689	1123.047
6524.154	-19601.303	1120.605
8084.079	-6012.104	1118.164
-4582.181	7270.173	1115.723
17082.688	8087.080	1113.281
3320.014	316.556	1110.840
-6022.209	10832.170	1108.398
-6943.295	-8797.820	1105.957
-14023.284	829.134	1103.516
-6140.313	-1385.666	1101.074
-3807.436	-2597.555	1098.633
-11939.569	-7714.192	1096.191
3281.210	6014.903	1093.750
1933.054	-8019.133	1091.309
22330.576	-4033.309	1088.867
956.744	11643.887	1086.426
-3038.227	-3732.965	1083.984
10868.454	12135.911	1081.543
4210.912	-18986.762	1079.102
-15587.639	18461.914	1076.660
-624.962	-2139.066	1074.219
-585.873	-135.026	1071.777
16903.063	-7468.236	1069.336
-319.904	-11507.842	1066.895
7094.407	-14338.779	1064.453
-20366.830	15769.407	1062.012
-3674.650	26622.781	1059.570
7487.300	9306.701	1057.129
-20310.818	10350.067	1054.688
-20507.254	-9215.264	1052.246
-20739.910	2055.960	1049.805
18639.848	-6380.522	1047.363
-7823.527	17812.787	1044.922
2637.903	1439.625	1042.480
10963.879	-14203.437	1040.039
16289.018	-3318.871	1037.598
-1564.437	-2355.869	1035.156
-18951.930	-4166.276	1032.715
-10250.811	22508.695	1030.273
-7031.887	3302.794	1027.832
2813.943	-17064.471	1025.391
6497.038	10800.940	1022.949
3645.162	8287.422	1020.508
1966.406	6089.034	1018.066
6783.446	19749.037	1015.625
-2147.947	-9271.683	1013.184
15843.430	-4139.525	1010.742
-841.721	-16871.145	1008.301
4289.612	-3546.765	1005.859
-18771.814	6740.578	1003.418
-4635.949	17278.688	1000.977
-8556.775	-6824.112	998.535
-2856.326	16224.119	996.094
6562.905	-17819.641	993.652
-7213.048	-3681.889	991.211
15092.384	12676.850	988.770
-15601.499	5271.316	986.328
-6525.787	-24682.990	983.887
-19680.551	-9886.131	981.445
-10874.693	-4187.708	979.004
-19863.914	-13040.750	976.563
11224.887	-12504.541	974.121
-4101.469	-16445.271	971.680
-7432.602	-6959.738	969.238
-1504.030	15197.822	966.797
-7713.609	-8608.276	964.355
-21325.449	-12809.887	961.914
-11869.104	-5669.698	959.473
-5705.104	14139.890	957.031
-1080.307	9255.778	954.590
-9167.039	23748.566	952.148
