#Data Point Listing of File C:\Documents and #Settings\NMR\Desktop\FPraktikum\2021\16122021\mess_1_45.3mhz.tnt
#Starting Point:	1	Ending Point:	1024
#Real	Imag	kHz
12105.563	11431.344	1250.000
1546.797	-13005.766	1247.559
2901.073	-4048.086	1245.117
-432.639	-4270.494	1242.676
15216.488	-2054.901	1240.234
2887.083	-13568.565	1237.793
-6627.867	-10834.017	1235.352
-5212.000	-12345.938	1232.910
-2302.562	-14982.029	1230.469
7031.844	-7097.180	1228.027
7049.572	7484.845	1225.586
-11701.787	-2549.778	1223.145
3667.875	21937.465	1220.703
4686.319	965.405	1218.262
-6958.847	-10383.087	1215.820
14347.493	-10424.085	1213.379
15478.051	6602.717	1210.938
9795.209	6863.202	1208.496
6282.300	10183.056	1206.055
-20369.873	9194.794	1203.613
-12884.189	-11965.328	1201.172
3414.640	-2769.009	1198.730
6751.434	5773.952	1196.289
-8191.442	7322.007	1193.848
-12257.916	5129.178	1191.406
-4419.693	3710.682	1188.965
-3068.799	10554.771	1186.523
1543.620	1026.058	1184.082
13568.046	6959.865	1181.641
12716.256	-2001.256	1179.199
-17937.688	6956.134	1176.758
-1069.237	19446.434	1174.316
6462.557	-2476.649	1171.875
518.316	-4821.631	1169.434
6597.164	-6250.599	1166.992
9774.114	-1614.266	1164.551
-11784.105	-3698.722	1162.109
3561.290	-3521.144	1159.668
15766.000	2246.848	1157.227
17494.406	-8994.677	1154.785
2426.052	7609.998	1152.344
-10036.104	4586.335	1149.902
10406.855	208.828	1147.461
-12088.798	7692.804	1145.020
13390.652	2113.444	1142.578
-4512.006	-9215.656	1140.137
628.812	-5912.277	1137.695
3276.897	8885.156	1135.254
-7582.843	11406.593	1132.813
677.168	-20573.844	1130.371
2020.728	-258.891	1127.930
3925.652	19615.334	1125.488
-9773.144	3254.982	1123.047
-9791.442	238.928	1120.605
-9610.845	16369.937	1118.164
-8511.641	9775.816	1115.723
-7343.791	8739.286	1113.281
9432.191	-11563.417	1110.840
3047.628	-644.392	1108.398
7428.947	-5076.397	1105.957
-10800.008	370.419	1103.516
17420.992	1753.313	1101.074
5656.082	2621.751	1098.633
-26240.666	-5482.671	1096.191
26676.434	-5936.957	1093.750
8441.857	-10764.232	1091.309
-5218.023	-798.479	1088.867
801.212	10678.617	1086.426
3009.527	-24925.262	1083.984
4643.650	7312.939	1081.543
1138.388	-3806.532	1079.102
-253.261	-5887.727	1076.660
10458.259	354.842	1074.219
-18410.096	3382.502	1071.777
-28831.250	-2282.129	1069.336
-10195.881	17182.734	1066.895
-19075.660	-24056.238	1064.453
-16801.287	-3833.539	1062.012
-5046.755	-17979.598	1059.570
-16928.285	-5941.652	1057.129
10644.930	6.722	1054.688
-15941.424	-6244.232	1052.246
-5778.680	18217.574	1049.805
4688.506	3644.984	1047.363
-6602.588	-1091.151	1044.922
7115.104	-2940.049	1042.480
-18989.141	-5827.539	1040.039
-7734.389	-1415.341	1037.598
7294.254	4543.571	1035.156
-5454.113	10636.263	1032.715
32150.404	5969.298	1030.273
-4857.975	2584.937	1027.832
-9635.571	9598.106	1025.391
19468.355	-25662.750	1022.949
1689.273	-16636.750	1020.508
-19919.992	2395.819	1018.066
-11021.938	591.828	1015.625
5682.972	-5503.172	1013.184
568.343	10652.510	1010.742
-6341.209	1269.410	1008.301
2028.220	-17568.344	1005.859
6079.361	-19894.895	1003.418
-9326.755	-13778.163	1000.977
2494.986	-3423.801	998.535
-8278.674	3776.396	996.094
12007.971	-3523.355	993.652
-10127.461	6407.523	991.211
-13811.228	8543.082	988.770
-9959.687	8840.793	986.328
776.835	13344.255	983.887
9025.443	-8851.248	981.445
-458.487	26556.699	979.004
-21358.555	-11830.471	976.563
-6265.286	-4692.185	974.121
13768.465	-5556.120	971.680
120.830	-1641.302	969.238
-13724.543	11342.684	966.797
2152.973	1084.932	964.355
