#Data Point Listing of File C:\Documents and #Settings\NMR\Desktop\FPraktikum\2021\17122021\mess_1_45.5mhz.tnt
#Starting Point:	1	Ending Point:	1024
#Real	Imag	kHz
7035.125	-4428.250	1250.000
4505.250	-4772.000	1247.559
-15607.000	9800.000	1245.117
3615.500	16545.625	1242.676
-6340.500	6385.500	1240.234
4826.500	14990.000	1237.793
-8901.250	1838.000	1235.352
6908.008	12229.500	1232.910
7469.750	7987.000	1230.469
17482.750	24536.750	1228.027
10048.000	13568.625	1225.586
5395.750	4522.313	1223.145
-13265.500	-11666.063	1220.703
-25096.000	-7142.625	1218.262
-21218.688	6545.000	1215.820
-3555.875	-3762.000	1213.379
1080.484	10322.188	1210.938
18001.688	-10350.594	1208.496
-1623.000	8881.453	1206.055
-9112.344	1484.797	1203.613
-6289.625	-22522.031	1201.172
-15082.742	1679.125	1198.730
-1089.866	3614.219	1196.289
7875.117	36949.344	1193.848
-11280.156	-17867.344	1191.406
-11929.984	11256.078	1188.965
-1614.266	-8439.469	1186.523
1520.563	1404.477	1184.082
-31851.094	-1681.578	1181.641
-7433.156	5632.944	1179.199
11838.938	16001.293	1176.758
1362.508	-4349.180	1174.316
-395.438	5117.623	1171.875
-6685.445	9498.838	1169.434
11408.547	-14783.742	1166.992
10289.861	-2492.682	1164.551
-6249.889	6320.406	1162.109
17979.982	5459.957	1159.668
5984.168	9196.607	1157.227
2089.394	7107.867	1154.785
-5494.211	-2825.902	1152.344
-5097.625	1576.031	1149.902
-18149.979	-11560.316	1147.461
-13335.158	10749.258	1145.020
-16963.133	22766.707	1142.578
-16459.469	15756.305	1140.137
-16618.916	1475.699	1137.695
10776.580	11973.844	1135.254
1567.547	18676.094	1132.813
-5791.279	-871.691	1130.371
-718.861	8904.000	1127.930
20536.113	4215.438	1125.488
9610.719	9659.184	1123.047
6427.365	-8662.311	1120.605
6245.242	-15571.465	1118.164
-6579.969	8316.916	1115.723
2444.727	-710.705	1113.281
-243.742	-14365.527	1110.840
12616.016	69.369	1108.398
5175.355	-11109.104	1105.957
10688.543	5818.471	1103.516
5296.568	3432.885	1101.074
-16909.820	-2338.621	1098.633
21157.309	4495.521	1096.191
-14083.055	-13106.477	1093.750
-10649.539	13402.476	1091.309
-2117.195	9479.917	1088.867
-13187.742	-510.892	1086.426
2609.588	17984.707	1083.984
-6758.479	7082.814	1081.543
6782.535	-784.727	1079.102
-3239.363	8278.238	1076.660
